speed,power
17.267,100.831
17.317,96.970
17.342,89.613
17.367,91.206
17.417,95.396
17.442,85.533
17.467,100.889
17.492,91.125
17.518,87.731
17.543,90.435
17.568,89.569
17.593,90.142
17.618,93.380
17.643,102.322
17.793,100.429
17.818,93.105
17.843,91.270
17.893,90.546
18.043,91.490
18.068,97.427
18.093,89.789
18.218,87.980
18.268,90.751
18.318,99.090
18.368,98.540
18.393,98.855
18.418,99.214
18.519,93.769
18.544,104.161
18.594,100.485
18.619,99.242
18.694,96.058
18.744,96.642
18.769,102.440
18.794,96.054
18.844,92.655
18.869,87.986
18.919,89.047
18.944,98.078
18.994,100.142
19.044,102.364
19.069,100.287
19.094,97.148
19.169,103.387
19.194,100.428
19.269,96.725
19.444,100.372
19.545,98.272
19.570,94.850
19.595,92.203
19.620,91.501
19.645,92.461
19.670,96.544
19.695,97.173
19.720,103.629
19.770,92.610
19.795,94.780
19.820,94.071
19.845,104.188
19.895,94.489
19.945,99.472
19.970,98.790
20.045,99.697
20.095,0.000
20.120,89.078
20.145,99.029
20.170,96.963
20.220,101.507
20.270,95.012
20.295,107.584
20.320,100.699
20.345,104.258
20.470,101.270
20.521,94.980
20.571,103.405
20.646,112.362
20.671,99.537
20.771,96.341
20.796,94.216
20.871,108.485
21.046,99.103
21.071,96.348
21.121,101.212
21.321,98.682
21.396,88.544
21.421,101.721
21.446,100.937
21.471,97.671
21.496,89.713
21.622,103.433
21.672,106.208
21.722,97.797
21.822,103.268
21.847,103.922
21.922,104.052
22.022,104.516
22.072,99.460
22.147,102.281
22.222,96.650
22.247,93.931
22.272,93.567
22.297,101.190
22.322,100.206
22.347,97.803
22.422,99.357
22.472,103.306
22.497,109.932
22.523,97.256
22.623,100.558
22.673,100.698
22.723,93.964
22.773,102.544
22.798,98.067
22.823,101.342
22.873,100.549
22.998,0.000
23.023,101.308
23.123,101.654
23.223,102.462
23.248,104.655
23.273,113.556
23.298,96.337
23.323,98.279
23.348,108.167
23.373,104.977
23.423,97.523
23.473,94.867
23.498,93.527
23.549,98.066
23.574,101.120
23.599,100.311
23.624,102.644
23.699,91.880
23.724,96.986
23.799,94.671
23.824,97.334
23.849,100.322
23.899,100.089
23.949,95.364
23.974,94.270
24.024,105.992
24.049,93.524
24.174,95.869
24.199,101.419
24.249,103.700
24.299,93.694
24.349,93.078
24.374,98.223
24.399,95.117
24.499,0.000
24.525,0.000
24.575,0.000
24.650,0.000
24.750,0.000
24.775,0.000
24.850,0.000
24.875,0.000
24.950,0.000
25.000,0.000
